"RecordType","DateReceived","FileName","FileValue","CountTotal","DCACode"
"SupplementaryTeamsFile","26/06/2018","Lucania_SupplementaryTeamsFile_20180626_48710.csv","","50","Lucania"
"GroveAccountReference","TeamName"
"TTI-607853397","Multicartera"
"TTI-607902889","Multicartera"
"TTI-607911328","Multicartera"
"TTI-608145249","Multicartera"
"TTI-608168241","Multicartera"
"TTI-608223103","Multicartera"
"TTI-608246401","Multicartera"
"TTI-608253993","Multicartera"
"TTI-608288361","Multicartera"
"TTI-608311569","Multicartera"
"TTI-608319273","Multicartera"
"TTI-608427704","Multicartera"
"TTI-608430195","Multicartera"
"TTI-608464616","Multicartera"
"TTI-608465936","Multicartera"
"TTI-608474417","Multicartera"
"TTI-608490777","Multicartera"
"TTI-608535571","Multicartera"
"TTI-608538898","Multicartera"
"TTI-608543633","Multicartera"
"TTI-608551628","Multicartera"
"TTI-608580445","Multicartera"
"TTI-608596664","Multicartera"
"TTI-608605598","Multicartera"
"TTI-608614046","Multicartera"
"TTI-608618906","Multicartera"
"TTI-608650867","Multicartera"
"TTI-608657961","Multicartera"
"TTI-608686465","Multicartera"
"TTI-608688115","Multicartera"
"TTI-608695185","Multicartera"
"TTI-608712238","Multicartera"
"TTI-608716999","Multicartera"
"TTI-608739256","Multicartera"
"TTI-608781878","Multicartera"
"TTI-608801890","Multicartera"
"TTI-608815544","Multicartera"
"TTI-608849873","Multicartera"
"TTI-608864302","Multicartera"
"TTI-609015565","Multicartera"
"TTI-609124946","Multicartera"
"TTI-609260021","Multicartera"
"TTI-609362884","Multicartera"
"TTI-609449350","Multicartera"
"TTI-609551734","Multicartera"
"TTI-609563051","Multicartera"
"TTI-609921515","Multicartera"
"TTI-610020489","Multicartera"
"TTI-610053951","Multicartera"
"TTI-610119281","Multicartera"
