"RecordType","DateReceived","FileName","FileValue","CountTotal","DCACode"
"SupplementaryTeamsFile","23/01/2019","Lucania_SupplementaryTeamsFile_20190123_64028.csv","","313","Lucania"
"GroveAccountReference","TeamName"
"TTI-602167306","Standard 2"
"TTI-602167447","Standard 2"
"TTI-602168866","Standard 2"
"TTI-602169039","Standard 2"
"TTI-602169815","Standard 2"
"TTI-602171613","Standard 2"
"TTI-602171837","Standard 2"
"TTI-602172777","Standard 2"
"TTI-602172900","Standard 2"
"TTI-602173064","Standard 2"
"TTI-602173163","Standard 2"
"TTI-602173247","Standard 2"
"TTI-602173429","Standard 2"
"TTI-602173692","Standard 2"
"TTI-602173742","Standard 2"
"TTI-602174021","Standard 2"
"TTI-602174922","Standard 2"
"TTI-602175036","Standard 2"
"TTI-602177206","Standard 2"
"TTI-602177776","Standard 2"
"TTI-602178238","Standard 2"
"TTI-602178360","Standard 2"
"TTI-602178386","Standard 2"
"TTI-602179400","Standard 2"
"TTI-602180473","Standard 2"
"TTI-602180861","Standard 2"
"TTI-602181869","Standard 2"
"TTI-602181877","Standard 2"
"TTI-602182032","Standard 2"
"TTI-602182248","Standard 2"
"TTI-602182693","Standard 2"
"TTI-602182941","Standard 2"
"TTI-602183048","Standard 2"
"TTI-602184749","Standard 2"
"TTI-602185761","Standard 2"
"TTI-602186579","Standard 2"
"TTI-602186918","Standard 2"
"TTI-602187387","Standard 2"
"TTI-602187965","Standard 2"
"TTI-602188328","Standard 2"
"TTI-602189037","Standard 2"
"TTI-602189409","Standard 2"
"TTI-602190696","Standard 2"
"TTI-602191470","Standard 2"
"TTI-602192288","Standard 2"
"TTI-602193823","Standard 2"
"TTI-602193856","Standard 2"
"TTI-602193955","Standard 2"
"TTI-602194268","Standard 2"
"TTI-602194839","Standard 2"
"TTI-602196057","Standard 2"
"TTI-602196347","Standard 2"
"TTI-602196420","Standard 2"
"TTI-602197444","Standard 2"
"TTI-602198004","Standard 2"
"TTI-602201287","Standard 2"
"TTI-602201428","Standard 2"
"TTI-602202145","Standard 2"
"TTI-602202269","Standard 2"
"TTI-602202566","Standard 2"
"TTI-602203341","Standard 2"
"TTI-602203812","Standard 2"
"TTI-602204737","Standard 2"
"TTI-602205155","Standard 2"
"TTI-602206203","Standard 2"
"TTI-602206377","Standard 2"
"TTI-602206492","Standard 2"
"TTI-602207623","Standard 2"
"TTI-602207813","Standard 2"
"TTI-602211732","Standard 2"
