"RecordType","DateReceived","FileName","FileValue","CountTotal","DCACode"
"SupplementaryTeamsFile","23/01/2019","Lucania_SupplementaryTeamsFile_20190123_64028.csv","","313","Lucania"
"GroveAccountReference","TeamName"
"TTI-602212169","Standard 2"
"TTI-602212623","Standard 2"
"TTI-602213001","Standard 2"
"TTI-602213373","Standard 2"
"TTI-602214082","Standard 2"
"TTI-602214413","Standard 2"
"TTI-602214421","Standard 2"
"TTI-602214504","Standard 2"
"TTI-602214686","Standard 2"
"TTI-602214751","Standard 2"
"TTI-602214884","Standard 2"
"TTI-602215287","Standard 2"
"TTI-602215535","Standard 2"
"TTI-602215923","Standard 2"
"TTI-602216095","Standard 2"
"TTI-602216434","Standard 2"
"TTI-602216632","Standard 2"
"TTI-602216681","Standard 2"
"TTI-602216780","Standard 2"
"TTI-602216855","Standard 2"
"TTI-602217085","Standard 2"
"TTI-602217119","Standard 2"
"TTI-602218083","Standard 2"
"TTI-602218430","Standard 2"
"TTI-602218570","Standard 2"
"TTI-602218810","Standard 2"
"TTI-602219933","Standard 2"
"TTI-602221046","Standard 2"
"TTI-602221079","Standard 2"
"TTI-602221095","Standard 2"
"TTI-602221350","Standard 2"
"TTI-602222010","Standard 2"
"TTI-602223034","Standard 2"
"TTI-602223059","Standard 2"
"TTI-602223315","Standard 2"
"TTI-602223422","Standard 2"
"TTI-602223885","Standard 2"
"TTI-602224305","Standard 2"
"TTI-602224719","Standard 2"
"TTI-602224966","Standard 2"
"TTI-602225542","Standard 2"
"TTI-602226011","Standard 2"
"TTI-602226441","Standard 2"
"TTI-602227241","Standard 2"
"TTI-602227589","Standard 2"
"TTI-602227753","Standard 2"
"TTI-602228041","Standard 2"
"TTI-602228066","Standard 2"
"TTI-602229122","Standard 2"
"TTI-602229668","Standard 2"
"TTI-602230138","Standard 2"
"TTI-602230344","Standard 2"
"TTI-602231151","Standard 2"
"TTI-602231854","Standard 2"
"TTI-602232001","Standard 2"
"TTI-602232845","Standard 2"
"TTI-602232951","Standard 2"
"TTI-602233496","Standard 2"
"TTI-602235384","Standard 2"
"TTI-602236655","Standard 2"
"TTI-602237042","Standard 2"
"TTI-602237372","Standard 2"
"TTI-602237562","Standard 2"
"TTI-602237794","Standard 2"
"TTI-602238883","Standard 2"
"TTI-602239154","Standard 2"
"TTI-602239972","Standard 2"
"TTI-602240210","Standard 2"
"TTI-602240376","Standard 2"
"TTI-602240517","Standard 2"
"TTI-602241101","Standard 2"
"TTI-602241200","Standard 2"
"TTI-602241572","Standard 2"
"TTI-602242448","Standard 2"
"TTI-602242844","Standard 2"
"TTI-602242992","Standard 2"
"TTI-602243750","Standard 2"
"TTI-602244543","Standard 2"
"TTI-602244550","Standard 2"
"TTI-602245607","Standard 2"
"TTI-602245904","Standard 2"
"TTI-602245961","Standard 2"
"TTI-602246340","Standard 2"
"TTI-602246647","Standard 2"
"TTI-602246878","Standard 2"
"TTI-602247496","Standard 2"
"TTI-602249856","Standard 2"
"TTI-602250110","Standard 2"
"TTI-602250177","Standard 2"
"TTI-602251506","Standard 2"
"TTI-602252686","Standard 2"
"TTI-602252751","Standard 2"
"TTI-602252827","Standard 2"
"TTI-602252900","Standard 2"
"TTI-602253270","Standard 2"
"TTI-602254153","Standard 2"
"TTI-602254773","Standard 2"
"TTI-602254906","Standard 2"
"TTI-602255226","Standard 2"
"TTI-602255309","Standard 2"
"TTI-602255432","Standard 2"
"TTI-602255564","Standard 2"
"TTI-602255796","Standard 2"
"TTI-602255820","Standard 2"
"TTI-602255903","Standard 2"
"TTI-602256018","Standard 2"
"TTI-602256463","Standard 2"
"TTI-602256612","Standard 2"
"TTI-602257115","Standard 2"
"TTI-602257354","Standard 2"
"TTI-602257370","Standard 2"
"TTI-602257602","Standard 2"
"TTI-602257958","Standard 2"
"TTI-602258634","Standard 2"
"TTI-602258980","Standard 2"
"TTI-602259061","Standard 2"
"TTI-602259384","Standard 2"
"TTI-602259442","Standard 2"
"TTI-602259681","Standard 2"
"TTI-602260432","Standard 2"
"TTI-602260465","Standard 2"
"TTI-602260648","Standard 2"
"TTI-602261083","Standard 2"
"TTI-602261448","Standard 2"
"TTI-602261463","Standard 2"
"TTI-602262404","Standard 2"
"TTI-602263535","Standard 2"
"TTI-602263568","Standard 2"
"TTI-602263899","Standard 2"
"TTI-602264160","Standard 2"
"TTI-602264186","Standard 2"
"TTI-602264285","Standard 2"
"TTI-602264384","Standard 2"
"TTI-602264665","Standard 2"
"TTI-602265720","Standard 2"
"TTI-602265787","Standard 2"
"TTI-602265803","Standard 2"
"TTI-602266082","Standard 2"
"TTI-602266314","Standard 2"
"TTI-602266652","Standard 2"
"TTI-602266678","Standard 2"
"TTI-602267338","Standard 2"
"TTI-602268252","Standard 2"
"TTI-602268393","Standard 2"
"TTI-602268492","Standard 2"
"TTI-602269755","Standard 2"
"TTI-602269797","Standard 2"
"TTI-602270803","Standard 2"
"TTI-602270936","Standard 2"
"TTI-602272296","Standard 2"
"TTI-602272429","Standard 2"
"TTI-602273120","Standard 2"
"TTI-602273948","Standard 2"
"TTI-602274102","Standard 2"
"TTI-602274359","Standard 2"
"TTI-602274458","Standard 2"
"TTI-602274532","Standard 2"
"TTI-602274623","Standard 2"
"TTI-602274656","Standard 2"
"TTI-602274912","Standard 2"
"TTI-602275299","Standard 2"
"TTI-602275968","Standard 2"
"TTI-602276552","Standard 2"
"TTI-602276776","Standard 2"
"TTI-602278244","Standard 2"
"TTI-602278251","Standard 2"
"TTI-602278863","Standard 2"
"TTI-602279192","Standard 2"
"TTI-602279424","Standard 2"
"TTI-602279465","Standard 2"
"TTI-602279549","Standard 2"
"TTI-602279820","Standard 2"
"TTI-602280265","Standard 2"
"TTI-602281156","Standard 2"
"TTI-602281263","Standard 2"
"TTI-602281313","Standard 2"
"TTI-602281370","Standard 2"
"TTI-602281792","Standard 2"
"TTI-602284408","Standard 2"
"TTI-602284457","Standard 2"
"TTI-602285199","Standard 2"
"TTI-602285926","Standard 2"
"TTI-602286213","Standard 2"
"TTI-602286635","Standard 2"
"TTI-602286965","Standard 2"
"TTI-602287138","Standard 2"
"TTI-602287419","Standard 2"
"TTI-602288243","Standard 2"
"TTI-602288607","Standard 2"
"TTI-602288821","Standard 2"
"TTI-602289308","Standard 2"
"TTI-602289852","Standard 2"
"TTI-602289860","Standard 2"
"TTI-602290017","Standard 2"
"TTI-602290553","Standard 2"
"TTI-602290744","Standard 2"
"TTI-602291387","Standard 2"
"TTI-602292336","Standard 2"
"TTI-602292815","Standard 2"
"TTI-602293342","Standard 2"
"TTI-602293391","Standard 2"
"TTI-602295180","Standard 2"
"TTI-602295578","Standard 2"
"TTI-602295727","Standard 2"
"TTI-602296360","Standard 2"
"TTI-602296675","Standard 2"
"TTI-602296881","Standard 2"
"TTI-602297814","Standard 2"
"TTI-602298143","Standard 2"
"TTI-602298473","Standard 2"
"TTI-602298879","Standard 2"
"TTI-602300220","Standard 2"
"TTI-602301087","Standard 2"
"TTI-602305849","Standard 2"
"TTI-602308363","Standard 2"
"TTI-602309585","Standard 2"
"TTI-602309593","Standard 2"
"TTI-602313884","Standard 2"
"TTI-602315707","Standard 2"
"TTI-602316770","Standard 2"
"TTI-602316903","Standard 2"
"TTI-602317562","Standard 2"
"TTI-602318065","Standard 2"
"TTI-602320764","Standard 2"
"TTI-602321150","Standard 2"
"TTI-602322604","Standard 2"
"TTI-602323651","Standard 2"
"TTI-602324519","Standard 2"
"TTI-602325508","Standard 2"
"TTI-602326381","Standard 2"
"TTI-602330524","Standard 2"
"TTI-602331548","Standard 2"
"TTI-602335176","Standard 2"
"TTI-602336026","Standard 2"
"TTI-602336489","Standard 2"
"TTI-602337669","Standard 2"
"TTI-602338592","Standard 2"
"TTI-602338980","Standard 2"
"TTI-602339749","Standard 2"
"TTI-602340887","Standard 2"
"TTI-602341083","Standard 2"
"TTI-602342792","Standard 2"
"TTI-602345126","Standard 2"
