"RecordType","DateReceived","FileName","FileValue","CountTotal","DCACode"
"NewPlacementsFile","26/06/2018","Lucania_NewPlacementFile_20180626_48707.csv","1486.46","50","Lucania"
"GroveAccountReference","PrimaryAccountReference","SecondaryAccountReference","Currency Code","GroveAccountId","ClientBalance","ClientBalanceDate","GroveBookName","CountryOfOrigin","AssignmentId","AssignmentTypeCode","TotalAmountAssigned","SegmentName","LastPaymentAmount","LastPaymentDate","NumberOfPaymentsInColls","ValueOfPaymentsInColls","PaymentMethod","DefaultDate","DefaultAmount","TerminationReason","CoreDebtAmount","ChargesToDate","InterestToDate","PrimaryProductNumber","PrimaryProductDescription","PrimaryProductValue","PrimaryProductOpenDate","PrimaryProductCloseDate","AssociatedProduct1 AccountNumber","AssociatedProduct1 Description","AssociatedProduct1Value","AssociatedProduct1OpenDate","AssociatedProduct1CloseDate","AssociatedProduct2AccountNumber","AssociatedProduct2Description","AssociatedProduct2Value","AssociatedProduct2OpenDate","AssociatedProduct2CloseDate","AssociatedProduct3 AccountNumber","AssociatedProduct3 Description","AssociatedProduct3Value","AssociatedProduct3OpenDate","AssociatedProduct3CloseDate","GrovePropensityScore","LitigationStatus","ContractAvailable","Region","Originator","Participants","BankAccountNumber","SpareField1","SpareField2","SpareField3","SpareField4","SpareField5","SpareField6","SpareField7","SpareField8","SpareField9","SpareField10"
"TTI-608538898","227952211","","EUR","32617507","25.00","26/06/2018","ONO Q1 2013","","","","0.00","Amicable","25.00","03/06/2016","9","393.13","","","","","25.00","","","","Telecom","","2008-06-05","","","","","","","","","","","","","","","","","","Not Litigated at Purchase","","Spain","","1","","","","","","","","","","",""
"TTI-608543633","228689402","","EUR","32618151","30.53","26/06/2018","ONO Q1 2013","","","","0.00","Amicable","","","","","","","","","30.53","","","","Telecom","","2007-02-21","","","","","","","","","","","","","","","","","","Not Litigated at Purchase","","Spain","","1","","","","","","","","","","",""
"TTI-608551628","230592902","","EUR","32627138","30.95","26/06/2018","ONO Q1 2013","","","","0.00","Amicable","","","","","","","","","30.95","","","","Telecom","","2006-06-03","","","","","","","","","","","","","","","","","","Not Litigated at Purchase","","Spain","","1","","","","","","","","","","",""
"TTI-608580445","236773801","","EUR","32637798","32.17","26/06/2018","ONO Q1 2013","","","","0.00","Amicable","","","","","","","","","32.17","","","","Telecom","","2007-09-19","","","","","","","","","","","","","","","","","","Not Litigated at Purchase","","Spain","","1","","","","","","","","","","",""
"TTI-608596664","238890544","","EUR","32640012","31.89","26/06/2018","ONO Q1 2013","","","","0.00","Amicable","","","","","","","","","31.89","","","","Telecom","","2007-02-23","","","","","","","","","","","","","","","","","","Not Litigated at Purchase","","Spain","","1","","","","","","","","","","",""
"TTI-608605598","240863341","","EUR","32641546","30.78","26/06/2018","ONO Q1 2013","","","","0.00","Amicable","","","","","","","","","30.78","","","","Telecom","","2009-01-10","","","","","","","","","","","","","","","","","","Not Litigated at Purchase","","Spain","","1","","","","","","","","","","",""
"TTI-608614046","242504852","","EUR","32642901","31.44","26/06/2018","ONO Q1 2013","","","","0.00","Amicable","","","","","","","","","31.44","","","","Telecom","","2006-11-16","","","","","","","","","","","","","","","","","","Not Litigated at Purchase","","Spain","","1","","","","","","","","","","",""
"TTI-608618906","243272601","","EUR","32643558","31.08","26/06/2018","ONO Q1 2013","","","","0.00","Amicable","","","","","","","","","31.08","","","","Telecom","","2007-02-26","","","","","","","","","","","","","","","","","","Not Litigated at Purchase","","Spain","","1","","","","","","","","","","",""
"TTI-608650867","24863503","","EUR","32648089","25.85","26/06/2018","ONO Q1 2013","","","","0.00","Amicable","30.00","17/05/2016","6","185.00","","","","","25.85","","","","Telecom","","2007-08-02","","","","","","","","","","","","","","","","","","Not Litigated at Purchase","","Spain","","1","","","","","","","","","","",""
"TTI-608657961","250132301","","EUR","32649164","32.10","26/06/2018","ONO Q1 2013","","","","0.00","Amicable","","","","","","","","","32.10","","","","Telecom","","2004-12-10","","","","","","","","","","","","","","","","","","Not Litigated at Purchase","","Spain","","1","","","","","","","","","","",""
